uuid,temporal_path,kingdom,phylum,class,order,family,genus,species,scientific_name,common,image_url
d0caebda-85d3-46fc-978e-58ca4c7d5cfd,temporal-landing/images/d0caebda-85d3-46fc-978e-58ca4c7d5cfd.jpg,Animalia,Chordata,Squamata,,Colubridae,Coluber,constrictor,Coluber constrictor,Eastern racer,https://inaturalist-open-data.s3.amazonaws.com/photos/94337336/original.jpg
cc3e8cd0-b993-4fdf-ae35-27880edf1597,temporal-landing/images/cc3e8cd0-b993-4fdf-ae35-27880edf1597.jpg,Animalia,Chordata,Squamata,,Colubridae,Nerodia,sipedon,Nerodia sipedon,Northern water snake,https://inaturalist-open-data.s3.amazonaws.com/photos/96865026/original.jpg
bafa2323-81f5-4783-bb58-6b5d26a2e1b7,temporal-landing/images/bafa2323-81f5-4783-bb58-6b5d26a2e1b7.jpg,Animalia,Chordata,Squamata,,Colubridae,Coluber,constrictor,Coluber constrictor,Eastern racer,https://inaturalist-open-data.s3.amazonaws.com/photos/149293095/original.jpg
9b074b8a-3fa2-4da5-9925-7f28ab1b9e36,temporal-landing/images/9b074b8a-3fa2-4da5-9925-7f28ab1b9e36.jpg,Animalia,Chordata,Squamata,,Colubridae,Boiga,dendrophila,Boiga dendrophila,Gold-ringed cat snake,https://inaturalist-open-data.s3.amazonaws.com/photos/323830796/original.jpg
521e2087-5109-4c59-8719-539b5bb2989e,temporal-landing/images/521e2087-5109-4c59-8719-539b5bb2989e.jpg,Animalia,Chordata,Squamata,,Colubridae,Natrix,natrix,Natrix natrix,Grass snake,https://inaturalist-open-data.s3.amazonaws.com/photos/63963783/original.jpeg
98eef8f1-ac51-4f77-91dd-2d8e264a64bb,temporal-landing/images/98eef8f1-ac51-4f77-91dd-2d8e264a64bb.jpg,Animalia,Chordata,Squamata,,Colubridae,Hypsirhynchus,parvifrons,Hypsirhynchus parvifrons,Cope's antilles snake,https://inaturalist-open-data.s3.amazonaws.com/photos/353139121/original.jpeg
d29a4659-1428-4afe-b777-a85925700147,temporal-landing/images/d29a4659-1428-4afe-b777-a85925700147.jpg,Animalia,Chordata,Squamata,,Boidae,Epicrates,maurus,Epicrates maurus,Brown rainbow boa,https://inaturalist-open-data.s3.amazonaws.com/photos/176291233/original.jpg
19b28d0d-9a83-4263-958a-7e2fd8f39641,temporal-landing/images/19b28d0d-9a83-4263-958a-7e2fd8f39641.jpg,Animalia,Chordata,Squamata,,Colubridae,Storeria,dekayi,Storeria dekayi,(dekay’s) brown snake,https://inaturalist-open-data.s3.amazonaws.com/photos/209938394/original.jpg
6af6b536-34f5-42da-a8c1-4d7413a5845d,temporal-landing/images/6af6b536-34f5-42da-a8c1-4d7413a5845d.jpg,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,sirtalis,Thamnophis sirtalis,Common garter snake,https://inaturalist-open-data.s3.amazonaws.com/photos/8766626/original.jpeg
6160cbb1-2934-4ada-bf45-d048c8c58440,temporal-landing/images/6160cbb1-2934-4ada-bf45-d048c8c58440.jpg,Animalia,Chordata,Squamata,,Colubridae,Dendrelaphis,punctulatus,Dendrelaphis punctulatus,Common tree snake,https://inaturalist-open-data.s3.amazonaws.com/photos/241178107/original.jpg
19a5ba0a-93ca-48cf-9659-2f41da904cfd,temporal-landing/images/19a5ba0a-93ca-48cf-9659-2f41da904cfd.jpg,Animalia,Chordata,Squamata,,Colubridae,Thamnophis,elegans,Thamnophis elegans,Western terrestrial garter snake,https://inaturalist-open-data.s3.amazonaws.com/photos/234601223/original.jpeg
